"signature","libraryName","placeName","allAuthorNames","allNotes","place"
"Clm 18621","Bayerische Staatsbibliothek","München","Guilielmus de Boldensele","Il manoscritto cartaceo è formato da 292 ff. Esemplato in parte da frater Sigismundus, il codice trasmette principalmente testi religiosi e teologici come il Dialogus inter magistrum Policarpum et morte e il Liber de miraculis di Giovanni d'Amalfi.","http://www.wikidata.org/entity/Q1726"
"Clm 22248","Bayerische Staatsbibliothek","München","Sanctus Brendanus","Il manoscritto membranaceo è formato da 138 ff. e misura 265x185 mm. Il codice è una raccolta agiografica. Nel margine superiore del f. 122v una mano del XVI secolo annota: ""Iste liber exaratus est sub Gebehardo abbate nostro, qui seculo XII floruit""; al f. 1r si legge ""Hoc confecit opus pater et pastor Gebhardus"". L'abate citato resse la carica tra il 1146 e il 1192, ma la datazione si può collocare a dopo il 1167, grazie alle notizie presenti nei testi trasmessi. ","http://www.wikidata.org/entity/Q1726"
"Clm 22377","Bayerische Staatsbibliothek","München","Guilielmus de Boldensele","Il manoscritto cartaceo è formato da 236 ff. Il codice trasmette principalmente testi legati al mondo orientale, tra cui l'Epistola del Prete Gianni, il Liber di Guglielmo di Boldensele e la Relatio di Odorico da Pordenone. Il manoscritto proviene dalla biblioteca dei Premonstatrensi di Windberg. ","http://www.wikidata.org/entity/Q1726"
"Clm 23725","Bayerische Staatsbibliothek","München","Aeneas Silvius Piccolomini","","http://www.wikidata.org/entity/Q1726"
"Clm 249","Bayerische Staatsbibliothek","München","Franciscus Pipinus","Il manoscritto cartaceo è composto da 224 ff. Fu scritto da tre diverse mani in Germania durante il XV secolo, due delle quali erano di Valentino Eber e Hermann Schedel (1410-1485), che fu possessore del manoscritto. Trasmette inoltre: Giovanni Boccaccio, De casibus virorum illustrium, ff. 1r-114v; Francesco Petrarca, Invective contra medicum, ff. 118r-141r; Prologus in tractatum de Iudiciis virtutum et viciorum, ff. 142r-152v; Francesco Pipino, Tractatus de locis Terrae Sanctae, ff. 190v-195r; Mirabilia urbis Romae, ff. 195r-198r; Francesco Petrarca, Responsiva exhortativa ad inceptae vitae perseverantiam, ff. 200r-202v; Dyalogus pulcer, ff. 203r-205v, Gasparino Barzizza, Oratio, ff. 215r-216v; Probae Falconiae cento Virgilianus de fabrica mundi, ff. 217r-224v.","http://www.wikidata.org/entity/Q1726"
"Clm 2607","Bayerische Staatsbibliothek","München","Sanctus Brendanus","Il manoscritto membranaceo è formato da 130, I' ff. e misura 261x175 mm. Posseduto dall'abbazia di Aldersbach, trasmette anche il Liber miraculorum et visionum di Herbertus, ff. 16r-130v, e un Versus de confessione, f. 130v. Al f. 130v si legge l'ex libris ""Liber s. Mariae in Alderbach"". ","http://www.wikidata.org/entity/Q1726"
"Clm 27006","Bayerische Staatsbibliothek","München","Guilielmus de Boldensele","Il manoscritto cartaceo è formato da 277 ff. con il testo disposto su due colonne. Il codice trasmette inoltre: Giovanni da Procida, Compendium de occultis naturae; De temporibus aptis pro flebotomia; Thomas de Cantimpré, Liber de naturis rerum, finitus anno 1409; Jacopo da Cessole, De ludo scacorum. ","http://www.wikidata.org/entity/Q1726"
"Clm 28294","Bayerische Staatsbibliothek","München","Hrabanus Maurus","Il manoscritto membranaceo è formato da II, 171 ff. e misura 310x225 mm. Il testo è disposto su due colonne. AL f. 1r si legge: ""Liber hic concessus fuit michi a Rev. patre Thoma nunc episcopo Polensi"", a f. 169v ""Ista metaphisica est fratris Thome episcopi Emonensis"", al f. 170r ""Volo ego Thomas Episcopus Traguriensis quod hec metaphisica Alberti Magni sit conventus sanctorum Johannis et Pauli de Veneciis"", ai ff. 1v e 170v ""Iste liber est conventus Johannis et Pauli de Veneciis ordinis predicatorum ex dono reverendi patris Thome Tomasino de Veneciis filii dicti conventus qui primo fuit per dominum Gregorium XII nacione Venetum factus Episcopus Emonensis, deinde per dominum Martinum quintum nacione romanum translatus fuit ad ecclesiam polensem ac post per eundem ad ecclesiam urbinatensem. Et deinde per eundem fuit translatus ad traguriensem. Et subsequenter per dominum Eugenium quartum et nacione venetum translatus fuit ad ecclesias Recanatensem et Maceratensem simul unitas. Et demum per eundem est translatus ad ecclesias feltrensem et bellunensem eciam simul unitas anno domini 1440"".  Le note di possesso si riferiscono a Tommaso Tommasini Paruta. Il codice, che trasmette anche la Metafisica di Alberto Magno, ff. 1r-160v, fece parte della biblioteca del convento domenicano dei ss. Giovanni e Paolo di Venezia con la segnatura 410 e fu poi acquistato dalla biblioteca monacense il 2 settembre 1915 dall'antiquario di Monaco Ludwig Rosenthal. ","http://www.wikidata.org/entity/Q1726"
"Clm 29890/B3 (olim 29061)","Bayerische Staatsbibliothek","München","Sanctus Brendanus","Il manoscritto membranaceo è formato da 1 bifoglio e 3 frammenti e misura 230x165 mm. Si tratta di fogli dispersi appartenenti al primo fascicolo di un unico manoscritto, come dichiara la nota a margine di uno dei frammenti. Lo scriba fu, forse, Fromondo di Tegernsee, morto intorno al 1010. ","http://www.wikidata.org/entity/Q1726"
"Clm 3703","Bayerische Staatsbibliothek","München","Hrabanus Maurus","Il manoscritto membranaceo è formato da 80 ff. e misura 175x125 mm. Il codice trasmette soltanto alcuni estratti del libro IV del testo di Rabano Mauro e riporta inoltre: Meditationes de divinis, ff. 1r-8v; Innocenzo III, Sermo I in nativitate Domini, f. 8v; Florilegium, f. 9r; Regolae, ff. 9v-11r; Sermones et meditationes, ff. 11r-16r; Versi, f. 16r; Citazioni dalla Bibbia e dai Padri della Chiesa, f. 16v; Iohannes de Castello, Sermones de tempore, ff. 17r-23r; Sermones et dispositiones, ff. 23v-25r; Glossarium biblicum, ff. 25v-30r; Alano di Lilla, Elucidatio in Canticum canticorum, ff. 31r-34r; Graeculus, Sermo de beato Blasio, ff. 33v-36r; Note sulla Vergine Maria, ff. 34v-35r; Flores ascetici-morales, ff. 35r-39v; Philuppus Cancellarius, Sermo, ff. 40r-41r; Dicta patrum et notae, ff. 41r-42v; Pietro Comestore, Historia scholastica, ff. 43r-44v; Sermones et meditationes, ff. 45r-52v; Giuliano di Toledo, Prognosticum, ff. 56r-59v; Germanus Parisiensis, Expositio brevis antiquae liturgiae Gallicanae, f. 59v; Interrogationes et responsiones, ff. 60r-80r; Hymnus in honorem s. Katherinae, f. 80v. ","http://www.wikidata.org/entity/Q1726"
"Clm 386","Bayerische Staatsbibliothek","München","Aeneas Silvius Piccolomini","","http://www.wikidata.org/entity/Q1726"
"Clm 4013","Bayerische Staatsbibliothek","München","Dicuil Hibernicus","Il manoscritto composto da 69 ff. trasmette vari testi geografici: la Cosmographia di Aethicus Ister, l'Itinerarium Antonini, il Libellus de provinciis Romanis. ","http://www.wikidata.org/entity/Q1726"
"Clm 431","Bayerische Staatsbibliothek","München","Hieronymus Monetarius","Il manoscritto cartaceo è formato da I, 305 ff. e misura 216x161 mm. Esemplato a Norimberga, il codice trasmette anche Conrad Celtis, De origine, situ, moribus et institutis Norimbergae libellus, ff. 3r-52r; De renovatione iudicii Nuremberge, f. 53r; De propulsione Iudeorum ex Nurimberga, f. 53v; Georgius Alte, Epistolae, ff. 54r-55r; Conrand Celtis, In vitam divi Sebaldi Nornbergensium patrem, ff. 57r-59r; Bolla di papa Martino V, ff. 61r-64v; De translatione reliquarum, ff. 65r-80r; De indulgentiis, ff. 80r-81r; Bulla domus sancti Viti ordinis fratrum heremitarum sancti Augustini in Nuremberga, ff. 82r-83v; Hieronymus Münzer, Itinerarium, ff. 96r-274v; De sancto Mamerto episcopo Viennensis, ff. 276r-176v; De laudibus regine et regis Fernandi, ff. 277r-279r; Hieronymus Münzer, De inventione Affricae, ff. 280r-290v; Cataldus Parisius, Oratio habita a Cataldo in adventu Elisabeth principis Portugalie ante Ianuam urbis Eborae, ff. 291r-297r, Epigramma de perfecto, naturali et mutuo amore regis, f. 297v e Epitaphia pro eodem principe, ff. 297v-300r; Ovidio, Fasti, liber VI, v. 771, f. 204v; Poema, Iniquitati nupsit dyabolus, f. 304r; Sentenza, f. 304r. *** Il manoscritto cartaceo è formato da I, 305 ff. e misura 216x161 mm. Esemplato a Norimberga, il codice trasmette anche: Conrad Celtis, De origine, situ, moribus et institutis Norimbergae libellus, ff. 3r-52r; De renovatione iudicii Nuremberge, f. 53r; De propulsione Iudeorum ex Nurimberga, f. 53v; Georgius Alte, Epistolae, ff. 54r-55r; Conrand Celtis, In vitam divi Sebaldi Nornbergensium patrem, ff. 57r-59r; Bolla di papa Martino V, ff. 61r-64v; De translatione reliquarum, ff. 65r-80r; De indulgentiis, ff. 80r-81r; Bulla domus sancti Viti ordinis fratrum heremitarum sancti Augustini in Nuremberga, ff. 82r-83v; De sancto Mamerto episcopo Viennensis, ff. 276r-176v; De laudibus regine et regis Fernandi, ff. 277r-279r; Hieronymus Münzer, De inventione Affricae, ff. 280r-290v; Cataldus Parisius, Oratio habita a Cataldo in adventu Elisabeth principis Portugalie ante Ianuam urbis Eborae, ff. 291r-297r, Epigramma de perfecto, naturali et mutuo amore regis, f. 297v e Epitaphia pro eodem principe, ff. 297v-300r; Ovidio, Fasti, liber VI, v. 771, f. 204v; Poema, Iniquitati nupsit dyabolus, f. 304r; Sentenza, f. 304r. ","http://www.wikidata.org/entity/Q1726"
"Clm 4351","Bayerische Staatsbibliothek","München","Beda Venerabilis","Il manoscritto è formato da 263 ff. e trasmette inoltre la Cronaca di di Eccardus de Uraugia, ff. 1-201. ","http://www.wikidata.org/entity/Q1726"
"Clm 461","Bayerische Staatsbibliothek","München","Opus sine auctore","Il manoscritto cartaceo è formato da 277 ff. e misura 212x154 mm. Il codice riporta una miscellanea di testi diversi, tra cui una serie di orazioni e discorsi funebri. Il manoscritto faceva parte della collezione libraria che il duca Alberto V di Baviera acquisì nel 1571 da Johann Jakob Fugger. ","http://www.wikidata.org/entity/Q1726"
"Clm 4724 (Bened. 224)","Bayerische Staatsbibliothek","München","Sanctus Brendanus","Il manoscritto cartaceo è composto da 161 ff. e misura 305x205 mm con il testo disposto su due colonne. Il codice trasmette inoltre: Umberto di Romans, Libri VI eruditionis religiosorum, ff. 1r-121r; Iohannes Sclitpacher, Epitome metrica, ff. 121r-121v; Statuta et decreta provincialia concilii provincialis Maguntini, ff. 141r-150r; Tabula statutorum sinodalium diocesis Augustensis, ff. 151r-151v; Statuta synodalia pro diocesi Augustensi, ff. 152r-161r. Il codice è realizzato da diverse mani. ","http://www.wikidata.org/entity/Q1726"
"Clm 5307","Bayerische Staatsbibliothek","München","Rorgus Fretellus de Nazareth","Il manoscritto cartaceo è formato da 158 ff. Il codice trasmette: compendio delle sentenze di Pietro Lombardo, ff. 1r-91r; Burcardo del Monte Sion, Descriptio Terrae Sanctae, ff. 92r-119v; Tractatus, ff. 120r-130v e 130v-135r; testo sui Germani, ff. 153r-168v. Il codice riporta la seconda redazione del testo di Fretello. ","http://www.wikidata.org/entity/Q1726"
"Clm 5333","Bayerische Staatsbibliothek","München","Aeneas Silvius Piccolomini","Composito, cartaceo, in folio, costituito da  ff. 213 totali. Contiene anche le Epistolae (115v-117r). Posseduto dal vescovato di Chiemsee.","http://www.wikidata.org/entity/Q1726"
"Clm 629","Bayerische Staatsbibliothek","München","Beda Venerabilis","Il manoscritto è membranaceo e consta di 95 ff. Trasmette inoltre: Itinerarium (sive potius stationum recensio in itinere) ad Hierosolymam per Hungariam, Bulgariam, Macedoniam, Romaniam, Graeciam, Armeniam, Syriam, ff. 19r-21v; Visio Othmari presbyteri, ff. 21v-23r; De SS. trium Regum nominibus et habitu, ff. 23r-24r; Exempla, ff. 24r-38r; De leone a S. Hieronymo curato, ff. 38r-44r; Visio Hieronymi presbyteri, ff. 44r-50r; Onorio di Autun, Sigillum S. Mariae V, ff. 50r-71r; De nativitate Domini, ff. 71r-75r; Sermones, 75r-86v; Beda, Relatio de sepulchro domini, ff. 86r-88r; Bernardi iubilus, ff. 88r-94v; Quaedam beatitudines S. Effrem, f. 94v.","http://www.wikidata.org/entity/Q1726"
"Clm 6389","Bayerische Staatsbibliothek","München","Beda Venerabilis","Il manoscritto è membranaceo, consta di 75 ff. e misura 225x180 mm. Esemplato a Frisinga nella seconda metà del IX secolo, fu posseduto prima dalla cattedrale di santa Maria a Frisinga, come testimonia la precedente segnatura Fris. 189. Il manoscritto trasmette inoltre: Beda Venerabilis, De locis sanctis, ff. 1r-14v; Candidus, Expositio de passione Domini, ff. 15r-66v; Excerpta Monacensia, ff. 67r-69r; Candidus, Sermones de diversis, ff. 69r-75v. ","http://www.wikidata.org/entity/Q1726"
"Clm 8485","Bayerische Staatsbibliothek","München","Sanctus Brendanus","Il manoscritto cartaceo è composto da 334 ff. e misura 212x150 mm, con il testo disposto su due colonne. Esemplato nel convento di Memmingen, in parte da Iohannes Fasnacht, trasmette: Agostino, Sermones, ff. 1r-32r; Quaestiones, ff. 34r-41v; De confessione et penitentia, ff. 41v-50r; Oleum devotionis fratrum Carthusiensium, ff. 51r-61r; Cura sanitatis Tiberii (acefala), ff. 62r-63v; Epistola del Prete Gianni, ff. 63v-66v; Giovanni di Würzburg, Descriptio Terrae Sanctae, ff. 66v-76v; Agostino, Sermones, ff. 93r-116v; Anselmo di Canterbury, Epistola 33, ff. 121v-122v; Sermones e Quaestiones, ff. 123r-288v; estratto del capitolo 64 della Legenda Aurea di Iacopo da Varagine, ff. 291v-294r. ","http://www.wikidata.org/entity/Q1726"
"Clm 850","Bayerische Staatsbibliothek","München","Franciscus Pipinus","Il manoscritto cartaceo è formato da 155 ff. e misura 220x160 mm. Presenta una rilegatura in pelle. Fu in parte vergato da Hartmann Schedel. Trasmette anche: Francesco Pipino , Tractatus de locis Terrae Sanctae, ff. 72r-87v; Mirabilia urbis Romae, ff. 79r-85v; Gesta Ernesti ducis, ff. 92r-123r; Epistola Regis Cypri ad Siciliae reginam, ff. 124r-125r; Cronica Ferrariensis, ff. 127r-138r; Le beleze di Firenze, ff. 140r-149r. ","http://www.wikidata.org/entity/Q1726"
"Clm 903","Bayerische Staatsbibliothek","München","Guilielmus de Boldensele","Il manoscritto cartaceo è formato da 271 ff. Il codice trasmette opere di vario genere, alcune legate al mondo orientale, come l'Historia Constantinopolitana di Gunther de Pairis, il Liber di Guillelmus de Boldensele e la Relatio di Odorico da Pordenone. Al f. 271r si legge la firma del copista: ""Scriptus per me fratrem Andrea et finitum Anno MCCCCXXII feria secunda post dominica Misericordie, in die S. Floriani. Iubilate"".","http://www.wikidata.org/entity/Q1726"
"Clm. 5339","Bayerische Staatsbibliothek","München","Franciscus Pipinus","Il manoscritto cartaceo è composto da 280 ff. e misura 290x215 mm. Esemplato in Germania, il codice apparteneva alla biblioteca di Chiemsee in Baviera.  Trasmette: Ambrogio, De excidio urbis Hierosolymitane, ff. 1r-163r; Solino, De Situ Orbis terrarum et mirabilibus mundi, ff. 167r-208v. ","http://www.wikidata.org/entity/Q1726"
"clm 14478","Bayerische Staatsbibliothek","München","Beda Venerabilis","Il codice è membranaceo, formato da 165 ff. e misura 230-235x135-140 mm. Formato da due unità codicologiche, la prima corrispondente ai ff. 1-77, vergata presso l'abbazia di St. Emmeram a Regensburg e risalente al XII secolo, la seconda ai ff. 78-165, esemplata a Bayern risalente all'IX secolo, il codice trasmette i seguenti testi: Agostino, De Genesi contra Manichaeos, ff. 1v-39r; Alcuino, Expositio in Ecclesiasten, ff. 40r-77v; Beda, In Acta apostolorum expositio, ff. 78r-157v; Nomina regionum atque locorum de Actibus apostolorum, ff. 157v-165v. ","http://www.wikidata.org/entity/Q1726"
"clm 14495","Bayerische Staatsbibliothek","München","Beda Venerabilis","Il codice è membranaceo, composito, formato da 129 ff. e misura 230x160 mm. La prima unità codicologica, risalente alla seconda metà del IX secolo, trasmette, oltre ai Nomina, anche  l'In acta apostolorum expositio di Beda il Venerabile; la seconda unità, (ff. 42-81), del primo terzo del XII secolo, i Commentarii in Daniele di Hieronymus, la terza,(ff. 82-128), risalente agli inizi del XII secolo,  il De officiis ecclesiasticis. ","http://www.wikidata.org/entity/Q1726"
"clm 14747","Bayerische Staatsbibliothek","München","Beda Venerabilis","Il codice composito è membranaceo, composto da 165 ff. e misura 175x125 mm. L'ente possessore era l'abbazia di St. Emmeram di Regensburg. Consta di due unità codicologiche: la prima, del IX secolo, corrispondente ai ff. 1-62, ha il testo disposto su due colonne e trasmette Beda Venerabile, In epistolas catholicas expositio; la seconda del terzo quarto del IX secolo, trasmette le epistole di Gerolamo, il De haeresibus di Augustino, l'Expositio Psalmorum di Cassiodoro, In acta apostolorum expositio, l'Explanatio Apocalypsis di Beda, Explanatio super epistolam Pauli ad Romanos di Origene e alcuni estratti delle Etimologie di Isidoro. La parte principale della Parte I è stata scritta da uno scriba con influenze irlandesi. Ulteriori passaggi sono scritti in minuscola carolingia tedesca da mani diverse. La parte II è stata scritta da più mani il cui stile di scrittura si riferisce al territorio della Germania meridionale.","http://www.wikidata.org/entity/Q1726"
"clm 22016","Bayerische Staatsbibliothek","München","Beda Venerabilis","Il manoscritto membranaceo è composto da 159 ff. e misura 345x230 mm. Era posseduto dall'abbazia di SS. Peter e Paul di Wessobrunn e trasmette testi di Isidoro di Siviglia e la Vitae beatae Mariae Aegypticae di Ildeberto di Lavardin.","http://www.wikidata.org/entity/Q1726"
"lat. 2° 930","Bayerische Staatsbibliothek","München","Hrabanus Maurus","Il manoscritto, gravemente danneggiato, conserva il testo dal libro I, capitolo 1, al libro XXII, capitolo 13. Il codice membranaceo è formato da 110 ff. e misura 440x222 mm. Il testo è disposto su due colonne. Il manoscritto è probabilmente quello attestato nella biblioteca papale avignonese a partire dagli indici di Gregorio XI (a. 1375: ""Item in volumine signato per B Rabanus de naturis florum et Crisostomus super Iohannem""), e fece parte poi della biblioteca di Benedetto XIII e di quella del castello di Peniscola, dove il papa fece trasportare tra il 1408 e il 1411 parte della biblioteca di Avignone, come risulta dal catalogo dei libri di Peniscola: ""Item Rabanus De naturis rerum et Crisostomus super Johannem cum cupertis de coreo croceo, qui incipit in primo colondello secundi folii, in conspectu illius, et finit in eodem recordationem"". Da entrambi i cataloghi risulta che nel manoscritto era trasmesso, oltre al De rerum naturis, anche Crisostomus super Johannem. Dopo il 1423 il codice fu venduto al librario barcellonese Coma per trentasei fiorini di Aragona. Nel 1933 fu comprato dal collezionista e antiquario di Leida Erich von Scherling che erroneamente identificò in Isidoro l'autore dell'opera e divise il codice in quattro sezioni, provocando così una ulteriore dispersione del manoscritto: la parte più consistente fu acquistata nel 1935 dalla biblioteca berlinese, anche se una delle carte fu distrutta dal fuoco; la carta 34 nell'ottobre 1935 era in possesso di Stanley Jacobs; altri elementi del codice furono acquistati da Charles D. Humberd, che li portò a Bernard nel Missouri, e da George A. Plimpton, ora conservati nella Columbia University.  ","http://www.wikidata.org/entity/Q1726"
"8°.336","Universitätsbibliothek","München","Iohannes Boccaccius","Scrittura corsiva umanistica con elementi gotici di unica mano. Presenza di marginalia. Il codice venne copiato a Firenze negli anni
Sessanta del XV secolo e lì fu acquistato
nel 1467 da Johannes Tröster come si
evince dalla nota di acquisto posta a f. 123. Una ulteriore nota di acquista segna il passaggio alla biblioteca dell'Università di Monaco","http://www.wikidata.org/entity/Q1726"
"Fragm. s. n. (deperditus)","Universitätsbibliothek","München","Hrabanus Maurus","Il codice, andato perduto nel 1944, trasmetteva un frammento del De rerum naturis e le Omelie di papa Gregorio Magno. ","http://www.wikidata.org/entity/Q1726"
"37","Bibliothèque du Séminaire Notre-Dame de Namur","Namur","Beda Venerabilis","Il manoscritto è membranaceo, composto da 128 ff. e misura 305x205 mm. Il codice trasmette inoltre: Pesudo-papa Clemente I, Recognitionum, lib. X (ff. 1r-101v); Epistola Clementis ad Jacobum (ff. 101r-105v); Epistola Clementis ad Corinthios (ff. 105v-118r); 	Passio S. Longini (ff. 105v-118r). Al f. 1r ex libris: ""Liber sancti Iohannis Baptiste Floriensis cenobii"". ","http://www.wikidata.org/entity/Q134121"
"Fonds de la ville 31","Musée des Arts Anciens ","Namur","Sanctus Brendanus","Il manoscritto cartaceo è formato da 76 ff. e misura 270x202 mm. Posseduto dal monastero di Wenau, trasmette anche vite e miracoli di santi. Il manoscritto è acefalo, consistente in origine di 84 fogli. Un solo copista verga l'intero codice e appone alcune correzioni, mentre altre si devono a una mano posteriore. ","http://www.wikidata.org/entity/Q134121"
"Fonds de la ville 50 I","Musée des Arts Anciens ","Namur","Guilielmus de Boldensele","Il manoscritto composito è formato da 229 ff  e misura 290x210 mm. Il codice è formato da due diverse sezioni, la prima datata al 21 aprile 1444, la seconda al 1444 ca. Il manoscritto trasmette anche il De naturis rerum di Thomas de Cantimpré, ff. 1r-163v, e il Liber de conservanda sanitate di Giovanni da Toledo, ff. 180r-188v. Sono presenti molte annotazioni marginali che costituiscono una guida alla lettura. Ai ff. 1 e 218 note di possesso: ""Iste liber pertinet monasterio Sanctae Mariae Virginis de Gardineto juxta Walcuriam"", del monastero cistercense di Walcourt. ","http://www.wikidata.org/entity/Q134121"
"441 (354)","Bibliothèque Municipale","Nancy","Iacobus Angeli de Scarperia","Il manoscritto membranaceo è formato da 215 ff. e misura 217x148/150 mm. Il codice è formato da tre diverse unità codicologiche: la prima, ff. 1-161v, del 1418, la seconda, ff. 162-211v, del 1427 e la terza, ff. 212r-215v, del 1427. Il testo della Cosmographia e le tavole furono assemblate da Fillastre; il testo presenta una lacuna di 4 ff. tra i ff. 2v-3r e di un foglio prima di f. 161v, che conteneva una carta d'insieme dell'orbis terrarum. ","http://www.wikidata.org/entity/Q40898"
"V.C.46","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Hrabanus Maurus","Il manoscritto membranaceo è formato da 231 ff. e misura 389x260 mm. Il testo è disposto su due colonne. Nel De rerum naturis mancano le lettere di dedica e la tavola dei capitoli va dal XIII al XXII libro a causa della caduta del primo foglio, avvenuta dopo il 10 ottobre 1788 perché in quella data il verbale di consegna dei manoscritti della Biblioteca Capitolare di Troia alla Biblioteca reale di Napoli menzionava il codice con il titolo ""De origine rerum"", che doveva trovarsi nel primo foglio. Fino al f. 16v mancano le prime righe della pagina e molti capitoli sono incompleti. Il codice trasmette anche la Disputatio vel Defensio Pachalis Papae e la datazione per la realizzazione del manoscritto può essere definita tra il 1112, anno di composizione della Disputatio, e il 1137, anno in cui il codice risulta donato alla chiesa di Troia dal vescovo Guglielmo II. Il passaggio da Troia a Napoli avvenne a seguito dell'ordine di Ferdinando IV di Borbone, eseguito nel 1788, che fece trasferire i codici alla Reale Biblioteca di Napoli. ","http://www.wikidata.org/entity/Q2634"
"V.E.18","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Iacobus Angeli de Scarperia","Il manoscritto cartaceo è formato da III, 216, I ff. e misura 215x140 mm. La legatura è del 1501-1600. Il codice trasmette inoltre: Iscrizioni, ff. 1r-41v; Pseudo-Omero, Batracomiomachia, ff. 53r-64r; Poggio Bracciolini, De varietate fortunae historiae, ff. 134r-147r; Niccolò Della Valle, Carmen ad card. L., ff. 150r-152r; Francesco Patrizi, Odae tres, ff. 163r-171v; Marco Greco, Liber ignium, ff. 176r-179v; Virtutes aque ardentis, ff. 179v-181r; Marco Taddeo, Liber de Aquavite, ff. 181r-187v; Agostino Dati, Oratio, ff. 194r-198r; Pio II, Epigrammata, f. 200r; Leonardo Bruni, Carmina, ff. 200v-201v; Pio II, Carmen, ff. 202r-202v; Achille Petrucci, Carmina duo, ff. 205r-216v. ","http://www.wikidata.org/entity/Q2634"
"V.F.32","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Iacobus Angeli de Scarperia","Il manoscritto membranaceo è formato da II, 124, II' ff. e misura 442x297 mm. Il codice è esemplato in umanistica con il testo disposto su due colonne. Il codice appartiene al fondo Farnese e fu portato a Napoli nel 1736 da Carlo di Borbone. ","http://www.wikidata.org/entity/Q2634"
"V.F.33","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Iacobus Angeli de Scarperia","Il manoscritto cartaceo è formato da 129 ff. e misura 400x290 mm. ","http://www.wikidata.org/entity/Q2634"
"VIII D. 71","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Iohannes Boccaccius","Presenza dei titoli correnti nel margine superiore del foglio.
Assente il Carme sull'Arno.","http://www.wikidata.org/entity/Q2634"
"VIII D. 9.","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Iohannes Boccaccius","Il manoscritto, presenta una scrittura di diverse mani umanistiche, rubriche incipitarie ed explicitarie assenti. Proviene da San Bernardino
de l’Aquila e doveva in origine essere una miscellanea di testi vari. Carme sull'Arno, Rupibus ex dextris, assente.","http://www.wikidata.org/entity/Q2634"
"VIII. D. 70","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Iohannes Boccaccius","Il manoscritto presenta scrittura umanistica di unica mano. Esso  proviene dal convento cappuccino della Concezione, come si legge a f.1v nel margine inferiore in una nota vergata da una mano del XVII secolo. Il Carme sull'Arno è assente. ","http://www.wikidata.org/entity/Q2634"
"Vind. Lat. 50","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Franciscus Pipinus","Il manoscritto cartaceo è composto da 105 ff. e misura 180x130 mm. Vergato in Italia, si trovava a Vienna nel 1719, dove rimase per circa 200 anni: dopo la Prima Guerra Mondiale, a seguito del Trattato di Saint-Germain, fu restituito all'Italia e giunse alla Biblioteca Nazionale di Napoli nel 1923. ","http://www.wikidata.org/entity/Q2634"
"Vindobonense Latino 48","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Guidus Pisanus","Il manoscritto cartaceo è formato da IV, 89, I' ff. e misura 228x162 ff. Rigato a secco e con legatura moderna, il codice fu esemplato in Italia. Appartenuto all'umanista Aulo Giano Parrasio, giunse alla Biblioteca imperiale di Vienna nel XVIII secolo e fu restituito all'Italia dopo la Prima Guerra Mondiale. Il codice contiene: Vibio Sequestre, De fluminibus, fontibus, lacubus, nemoribus, paludibus, montibus, gentibus per litteras liber, ff. 1r-12v; Polemio Silvio, Laterculus, ff. 12v-14r; Liber provinciarum Italie, ff. 15r-18v; Liber de origine situque et qualitate urbis Rome, ff. 18v-23r; Liber de variis historiis, ff. 23v-41v; Gregorius Tiphernius, De astrologia oratio, ff. 41r-50r, De studiis litterarum oratio, ff. 50v-60v, Carmina, ff. 60v-68v; Seneca, Ad Gallionem de remediis fortuitorum liber, ff. 69r-73r; Xenophons, De tyranno, ff. 73v-88v. ","http://www.wikidata.org/entity/Q2634"
"XIII G 30","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Christophorus Bondelmontius","Cartaceo e monografico; fogli non numerati.","http://www.wikidata.org/entity/Q2634"
"XIII.H.79","Biblioteca Nazionale Vittorio Emanuele III","Napoli","Iannotius Manettus","Membranaceo, mm 245x170, scrittura minuscola umanistica posata. Primo possessore del codice fu Antonio Motta, a cui forse appartiene lo stemma presente al f. 1r. Il codice è arrivato nella Biblioteca Nazionale di Napoli solo nel 1989, quando fu acquistato dal Ministero per i Beni Culturali e Ambientali nell'ambito di un'azione di recupero di testimonianze culturali dell'Umanesimo napoletano. ","http://www.wikidata.org/entity/Q2634"
"Pil. IX, 2","Biblioteca Statale Oratoriana dei Girolamini","Napoli","Iacobus Angeli de Scarperia","Il manoscritto membranaceo è formato da II, 106, I' ff. e misura 575x420 mm. Esemplato in littera umanistica da un'unica mano su due colonne per papa Pio II. Il testo tolemaico è preceduto dalla dedica al pontefice Alessandro V  e si conclude con una tavola delle provincie. Le carte geografiche si trovano nel libro VIII. ","http://www.wikidata.org/entity/Q2634"
